sku,unit,description,pmu,db_nr,category
L803M/63NG,pcs,,12.9025,382,2
L804CA/40,pcs,,6.2430,253,2
L804CA/40G,pcs,,6.4782,331,2
L804CA/63,pcs,,7.7775,236,2
L804CA/63G,pcs,,7.8646,353,2
L804M/40,pcs,,11.6528,248,2
L804M/40G,pcs,,11.8507,350,2
L804M/40N,pcs,,12.2295,243,2
L804M/40NG,pcs,,12.4718,325,2
L804M/63,pcs,,12.9014,249,2
L804M/63G,pcs,,13.0141,351,2
L804M/63NG,pcs,,13.8535,244,2
L901M/16NG,pcs,,11.3014,326,2
L901M/50,pcs,,12.7008,238,2
L901M/50G,pcs,,12.8897,442,2
L901M/50N,pcs,,13.4840,237,2
L901M/50NG,pcs,,13.7724,322,2
L901M/50NGB,pcs,,13.7106,434,2
L902C/32,pcs,,5.6543,220,2
L902C/32G,pcs,,5.7383,441,2
L903CA/32,pcs,,6.3753,221,2
L903CA/32G,pcs,,6.5964,338,2
L904CA/32,pcs,,7.0692,222,2
L904CA/32G,pcs,,7.2757,375,2
LT447,pcs,,10.5258,365,4
LT526,pcs,,23.4958,414,4
LT587,pcs,,41.2430,437,4
LT590/32/1,pcs,,29.2579,461,4
LT590/32N,pcs,,35.4061,305,4
LT590/32N/1,pcs,,29.9074,485,4
LT591/40N,pcs,,34.1373,299,4
LT591/40N/1,pcs,,28.6948,486,4
LT629,pcs,,18.2606,390,4
LT640,pcs,,18.7829,314,4
LT643,pcs,,25.1021,317,4
LT677,pcs,,22.0394,455,4
LT680,pcs,,19.9484,529,4
LT685,pcs,,23.3127,456,4
LT687N,pcs,,34.5211,508,4
XE803M/40,pcs,,1.8388,502,3
XE804M/40,pcs,,2.3451,503,3
Z21,pcs,,0.8746,484,6
Z422,pcs,,0.0760,356,6
Z493,pcs,,0.6077,483,6
Z595,pcs,,0.3290,489,6
Z896,pcs,,1.8695,488,6
Z925,pcs,,0.7648,487,6
